price,sector,built_up_area,bedRoom,bathroom,balcony,extra_rooms,agePossession,furnishing_type,luxury_category,floor_category
3.85,sector 82a,5711.0,5,6,3+,2,New Property,2,Medium,Mid Floor
3.29,sector 65,1654.0,3,3,3,0,New Property,0,Low,High Floor
2.33,sector 65,1141.0,2,2,3,0,Under Construction,2,Low,High Floor
2.79,sector 65,1654.0,3,3,3,0,New Property,0,Low,High Floor
3.4,sector 41,2900.0,4,4,3,0,Old Property,0,Low,Low Floor
0.72,sector 12,1100.0,2,2,1,1,Relatively New,2,Low,Low Floor
0.4,sector 104,514.0,2,2,1,0,Relatively New,0,Medium,Mid Floor
0.56,sector 95,1234.0,2,2,2,0,Relatively New,2,Medium,Mid Floor
1.1,sector 71,1466.0,3,3,3,1,Relatively New,0,Medium,High Floor
0.71,sector 37d,1100.0,2,2,3,1,New Property,0,Low,Mid Floor
0.78,sector 79,1172.0,2,2,3+,1,New Property,0,Medium,Low Floor
0.4,sector 37c,756.0,2,2,3,0,Under Construction,0,Medium,Mid Floor
1.85,sector 113,1429.0,3,2,2,0,New Property,0,Low,Mid Floor
1.1,sector 102,817.0,2,2,1,0,Under Construction,0,Medium,Mid Floor
1.41,sector 61,1150.0,2,2,2,1,Under Construction,0,Medium,Low Floor
1.45,sector 79,2161.0,3,3,3,0,Relatively New,0,Low,Mid Floor
2.2,sector 61,1778.0,3,3,2,0,Under Construction,0,Low,Low Floor
1.1,sector 33,1100.0,2,2,3,0,Moderately Old,2,Low,Mid Floor
2.05,sector 102,2250.0,3,4,3+,1,Relatively New,0,Medium,High Floor
0.6,sector 92,1333.0,3,2,3,0,Moderately Old,2,Low,Mid Floor
0.8,sector 89,1502.0,2,3,3,2,Under Construction,0,Medium,Mid Floor
0.41,sector 84,565.0,2,2,2,0,New Property,2,Low,Mid Floor
0.9,sector 73,1622.0,3,3,3,1,Under Construction,0,Medium,Mid Floor
0.54,sector 7,1000.0,2,2,1,0,Relatively New,0,Medium,Mid Floor
0.82,sector 36,850.0,3,2,2,0,New Property,0,Low,Low Floor
1.0,sector 71,1344.0,3,3,3+,0,Relatively New,2,Low,Mid Floor
1.85,sector 56,2278.0,3,4,3,1,Old Property,2,Medium,Mid Floor
1.42,sector 83,1972.0,3,3,2,0,Relatively New,2,Medium,Low Floor
0.55,sector 37d,610.0,2,2,3,0,New Property,0,Medium,Mid Floor
2.29,sector 65,1592.0,2,2,3,1,Under Construction,0,Low,Mid Floor
0.97,sector 102,747.0,2,2,2,0,New Property,0,Medium,High Floor
8.25,sector 53,2661.0,3,4,3,1,Under Construction,1,Low,Mid Floor
0.3,sector 3 phase 2,750.0,2,2,1,0,Relatively New,0,Low,Low Floor
1.65,sector 33,1279.0,2,2,3,0,Under Construction,0,Low,Low Floor
1.99,sector 65,1140.0,2,2,2,0,Under Construction,0,Low,High Floor
1.0,sector 68,889.0,2,2,3,0,Relatively New,0,Low,High Floor
4.25,sector 62,1778.0,3,3,3,1,Under Construction,0,Low,Mid Floor
1.25,sector 78,2300.0,4,4,3,3,Relatively New,0,Medium,Low Floor
0.95,sector 83,1489.0,3,3,3,0,Moderately Old,0,Low,Low Floor
1.05,sector 4,1500.0,3,2,2,0,New Property,2,Low,Low Floor
4.1,sector 72,2629.0,4,5,3+,2,New Property,0,Medium,High Floor
0.5,sector 90,796.0,2,2,2,0,Under Construction,0,Low,Low Floor
1.65,manesar,3111.0,4,3,3,1,New Property,0,Low,Mid Floor
1.6,sector 70a,1750.0,3,3,3,2,New Property,0,Medium,Low Floor
2.1,sector 61,1534.0,3,2,3,0,Under Construction,0,Medium,Mid Floor
0.9,manesar,2233.0,4,4,3,0,Moderately Old,0,Low,Mid Floor
1.1,sector 79,1223.0,2,2,3+,0,New Property,2,Low,Mid Floor
0.92,sector 99,1235.0,2,2,3+,0,Under Construction,0,Medium,High Floor
0.7,sector 92,1260.0,3,3,2,0,Under Construction,0,Low,High Floor
0.99,sector 70,1416.0,3,4,2,0,Under Construction,0,Low,High Floor
0.71,sector 79,1280.0,2,2,3+,1,New Property,0,Medium,High Floor
0.88,sector 103,1232.0,2,2,3,0,New Property,0,Medium,Mid Floor
0.91,sector 69,1473.0,3,2,2,0,Moderately Old,0,Low,High Floor
1.25,sector 82,1774.0,3,4,3+,0,Under Construction,0,Medium,Mid Floor
1.05,sector 47,1108.0,2,2,2,0,Relatively New,2,Low,Mid Floor
0.66,sector 37c,1310.0,2,2,3+,0,Relatively New,0,Medium,High Floor
1.83,sector 113,1310.0,2,2,0,0,New Property,0,Medium,Mid Floor
0.53,sector 70,991.0,2,2,2,1,Under Construction,0,Low,Mid Floor
0.8,sector 37d,1300.0,2,2,3,0,Relatively New,0,Medium,Low Floor
1.71,sector 89,1423.0,3,2,0,0,New Property,0,Low,Mid Floor
0.65,sector 83,700.0,1,1,0,0,Relatively New,0,Low,Mid Floor
1.3,sector 99a,1997.0,3,3,0,0,New Property,0,Low,High Floor
0.82,sector 92,1523.0,3,3,3+,0,Relatively New,0,Low,High Floor
0.88,sector 63,804.0,1,1,2,0,New Property,0,Low,Mid Floor
4.0,sector 110,3350.0,4,4,3,0,New Property,0,Medium,High Floor
1.93,sector 85,2400.0,3,4,3,1,Relatively New,0,High,Mid Floor
3.45,sector 113,2353.0,4,4,3,2,Under Construction,2,High,High Floor
1.7,sector 56,2200.0,3,3,3,1,Moderately Old,0,Low,Mid Floor
6.15,sector 65,4271.0,3,5,3+,1,Relatively New,1,Low,Low Floor
1.4,sector 2,1611.0,3,3,3+,0,Old Property,1,Medium,Mid Floor
1.48,sector 84,1624.0,3,3,2,2,New Property,2,Medium,Low Floor
3.25,sector 33,4809.0,4,4,3+,1,Old Property,2,Medium,High Floor
1.49,kanahi,1944.0,3,2,3+,0,Old Property,2,Medium,Low Floor
0.3,sector-11 sohna road,846.0,2,2,2,0,Relatively New,0,Low,High Floor
3.49,sector 67,2724.0,3,3,3,1,Relatively New,0,Medium,High Floor
2.15,sector 62,1676.0,2,2,3,0,Under Construction,0,Medium,High Floor
1.4,sector 33,1448.0,2,2,3,0,Under Construction,0,Medium,High Floor
2.0,sector 43,1273.0,3,3,2,0,Moderately Old,0,Medium,Mid Floor
2.3,sector 61,1475.0,3,3,2,1,Under Construction,0,Medium,Low Floor
0.54,sohna road,828.0,2,1,3,0,New Property,0,Medium,Low Floor
1.25,sector 9a,2007.0,4,3,3,1,Old Property,2,Low,Low Floor
1.05,sector 85,990.0,2,2,1,0,Under Construction,0,Low,High Floor
1.25,sector 77,1611.0,3,4,3,1,Relatively New,2,Medium,Low Floor
1.0,sector 28,995.0,1,1,1,2,Old Property,2,Medium,Low Floor
1.7,sector 14,2556.0,5,5,2,3,Old Property,1,Medium,Low Floor
1.3,sector 86,2521.0,4,6,2,2,New Property,0,Medium,High Floor
2.12,sector 102,1852.0,3,3,3,0,Relatively New,0,Medium,Mid Floor
3.9,sector 61,1388.0,3,4,3+,1,Under Construction,0,High,High Floor
3.0,sector 50,2357.0,3,3,3+,1,Old Property,2,Medium,High Floor
2.2,sector 61,1721.0,3,3,2,0,New Property,0,High,Mid Floor
1.35,sector 102,1315.0,3,3,3,1,Relatively New,0,Medium,Mid Floor
1.67,sector 33,1857.0,3,2,2,0,Under Construction,0,Medium,High Floor
0.9,sector 103,1222.0,2,2,2,0,Relatively New,0,Low,Low Floor
2.37,sector 113,2060.0,4,4,3+,1,Under Construction,0,Medium,High Floor
1.98,sector 102,2222.0,3,3,3+,1,Relatively New,2,Medium,Mid Floor
3.7,sector 25,2333.0,4,4,3,1,Old Property,2,Low,High Floor
4.67,sector 111,3056.0,4,4,3+,0,Under Construction,0,Medium,Mid Floor
1.29,sector 79,1423.0,2,2,3,0,New Property,0,Low,Mid Floor
3.65,sector 48,1869.0,3,3,3+,1,Relatively New,2,High,Mid Floor
5.6,sector 53,2617.0,3,3,3+,0,Under Construction,2,Low,Low Floor
1.25,sector 92,1939.0,4,4,3,1,Relatively New,0,Medium,High Floor
1.27,sector 70a,1449.0,2,2,3+,1,Relatively New,2,Medium,High Floor
1.36,sector 108,1343.0,3,2,3+,2,Relatively New,2,Medium,Low Floor
1.0,sector 37d,1250.0,3,3,3,0,Under Construction,0,Low,Mid Floor
4.25,sector 48,4120.0,4,5,3+,1,Moderately Old,2,Medium,High Floor
1.8,sector 83,1719.0,3,3,3+,0,Relatively New,0,Medium,Mid Floor
1.25,sector 71,1577.0,3,4,2,4,Relatively New,1,Medium,High Floor
0.27,sohna road,509.0,2,2,1,1,Relatively New,2,Low,Mid Floor
5.5,sector 59,2738.0,3,3,1,1,Under Construction,0,Low,High Floor
0.85,sector 92,1801.0,3,3,3,0,Relatively New,0,Medium,Low Floor
1.07,sector 33,1253.0,2,2,2,0,Under Construction,0,Medium,High Floor
0.95,sector 67,826.0,1,1,1,0,Relatively New,0,Low,High Floor
0.87,sector 108,978.23,2,3,3,1,Relatively New,2,Medium,Low Floor
4.1,sector 108,2343.0,4,5,3,2,New Property,1,Medium,High Floor
1.27,sector 33,1252.0,2,2,3+,0,Under Construction,0,Low,Mid Floor
1.47,sector 61,1278.0,2,2,2,1,Under Construction,0,Low,Mid Floor
3.45,sector 66,2000.0,3,4,3,1,Relatively New,2,Medium,Mid Floor
1.18,sector 2,1416.0,2,2,3,1,Old Property,0,Medium,Mid Floor
1.55,sector 2,1738.0,3,4,3+,1,Old Property,0,Medium,Mid Floor
3.39,sector 67,2100.0,3,4,3,1,Relatively New,2,Low,High Floor
1.54,sector 86,1780.0,3,3,3+,1,Relatively New,0,High,High Floor
1.42,sector 102,1315.0,3,3,3,1,Relatively New,0,Medium,Mid Floor
1.3,sector 30,1401.0,3,3,2,0,Old Property,0,Low,Low Floor
2.25,sector 28,1700.0,3,3,2,1,Old Property,0,Medium,High Floor
3.5,sector 67,2490.0,3,4,3,2,Relatively New,2,Medium,High Floor
4.8,sector 22,2778.0,4,6,3+,2,New Property,1,Low,Mid Floor
0.78,sector 92,1083.0,2,2,2,0,New Property,2,Low,Low Floor
0.88,sector 9a,1438.0,3,3,2,0,Old Property,2,Low,Low Floor
2.6,sector 102,2351.0,3,3,3,3,Relatively New,0,Medium,Low Floor
3.4,sector 25,2744.0,4,4,3,1,Old Property,0,Low,Low Floor
2.9,sector 108,1813.0,3,4,2,0,New Property,0,Medium,Mid Floor
0.7,sector 108,1362.0,2,2,2,0,Moderately Old,0,Medium,High Floor
1.5,sector 86,1780.0,3,3,3+,1,Relatively New,0,High,High Floor
1.28,gwal pahari,1489.0,3,3,3,0,Relatively New,2,Low,Low Floor
2.51,sector 113,1534.0,3,3,3+,1,Under Construction,0,Low,Low Floor
